"","Session","Period","subject.id","Player","District","Map","Effort","District.compare","Advantage","Adv.District.Names","Disadv.District.Names","Renamed.Map","Compare"
"164",3,15,20,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"165",3,15,21,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"166",3,15,22,"B","EDG","5",10,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"167",3,15,23,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"168",3,15,24,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"169",3,16,17,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"170",3,16,18,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"171",3,16,19,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"172",3,16,20,"A","EDG","5",3,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"173",3,16,21,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"174",3,16,22,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"175",3,16,23,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"176",3,16,24,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"177",3,17,17,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"178",3,17,18,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"179",3,17,19,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"180",3,17,20,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"181",3,17,21,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"182",3,17,22,"B","EDG","5",40,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"183",3,17,23,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"184",3,17,24,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"185",3,18,17,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"186",3,18,18,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"187",3,18,19,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"188",3,18,20,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"189",3,18,21,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"190",3,18,22,"B","EDG","5",30,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"191",3,18,23,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"192",3,18,24,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"193",3,19,17,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"194",3,19,18,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"195",3,19,19,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"196",3,19,20,"A","EDG","5",0,"DG Player A to LG Player B","Adv","Three Partisan Against","Error","Advantaged","Three Partisan Against"
"197",3,19,21,"B","EDG","5",0,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
"198",3,19,22,"B","EDG","5",30,"LG Player A to DG Player B","Dis.adv","Error","Three Partisan For","Disadvantaged","Three Partisan For"
